id,name,city,video,video_url,time_of_day,start_time,end_time,region_code,channel_name,channel_url,published_at,country_code
ORPGr4m2-Sw,🚦Pedestrian traffic light SOUNDS around the world 🚦#SFX,Berlin,ORPGr4m2-Sw,https://www.youtube.com/watch?v=ORPGr4m2-Sw,unknown,0:00,0:11:50,DE,WinExp,https://www.youtube.com/channel/UCyj8qZ4TnT_zVeKDjnEbnTQ,2024-07-26T16:00:30Z,DE
UElofxU8Nvo,5 Best Pedestrian Streets in Paris for Restaurants &amp; Shopping,Paris,UElofxU8Nvo,https://www.youtube.com/watch?v=UElofxU8Nvo,unknown,0:00,0:07:18,FR,Les Frenchies,https://www.youtube.com/channel/UC5m1fPLNTZCgLjIzO5iy-Ng,2022-04-09T11:00:11Z,FR
pnVAm2YhJLg,Japan&#39;s Shibuya Crossing may be the busiest pedestrian crossing in the world,Tokyo,pnVAm2YhJLg,https://www.youtube.com/watch?v=pnVAm2YhJLg,unknown,0:00,0:03:13,JP,WTHR,https://www.youtube.com/channel/UCSFLs1nwzqSC3Tq6cXhJkLg,2021-02-24T04:25:36Z,JP
m_wznfPqd0I,6 1/2 Avenue: The Pedestrian Only Ave in NYC #nyc #didyouknow #nychistory #funfacts #exploreny #fyi,New York,m_wznfPqd0I,https://www.youtube.com/watch?v=m_wznfPqd0I,unknown,0:00,0:01:28,US,Norberto Briceño,https://www.youtube.com/channel/UCkpqYp3qO3HPLWXYGySjTVQ,2025-09-24T17:23:42Z,US
hm8yVZF-LHY,"How to cross the street in Mumbai, India",Mumbai,hm8yVZF-LHY,https://www.youtube.com/watch?v=hm8yVZF-LHY,unknown,0:00,0:00:42,IN,screamphilling,https://www.youtube.com/channel/UC61tWyhtuur2vMd7YPRJvTg,2020-12-06T04:00:10Z,IN
xNCeG8sO-bQ,Why did the German cross the road?,Berlin,xNCeG8sO-bQ,https://www.youtube.com/watch?v=xNCeG8sO-bQ,unknown,0:00,0:00:37,DE,liamcarps,https://www.youtube.com/channel/UCIOfoptCwOUiE-hnjrhl21Q,2023-11-05T14:15:17Z,DE
obsNhiqsuJ4,How does a blind girl cross the road in the UK?,Paris,obsNhiqsuJ4,https://www.youtube.com/watch?v=obsNhiqsuJ4,unknown,0:00,0:00:34,FR,Blind Girl Adventures,https://www.youtube.com/channel/UCAuBlhWlMaW9sXGIwphU33Q,2023-10-30T19:00:24Z,FR
mJZldCMZhyA,Secret Street Crossing HACK,Mumbai,mJZldCMZhyA,https://www.youtube.com/watch?v=mJZldCMZhyA,unknown,0:00,0:00:34,IN,Mark Rober,https://www.youtube.com/channel/UCY1kMZp36IQSyNx_9h4mpCg,2025-08-18T16:05:24Z,IN
GuYrT1OGJyc,Girl Walks Through Tokyo&#39;s Famous Shibuya Crossing In Japan,Tokyo,GuYrT1OGJyc,https://www.youtube.com/watch?v=GuYrT1OGJyc,unknown,0:00,0:00:23,JP,Top Trends,https://www.youtube.com/channel/UC51I0xm0a81Y65XXAQwmw1w,2025-07-13T16:47:06Z,JP
AcmcXLihbTQ,New York ain&#39;t normal 😳,New York,AcmcXLihbTQ,https://www.youtube.com/watch?v=AcmcXLihbTQ,unknown,0:00,0:00:19,US,Olima Omega,https://www.youtube.com/channel/UCMUPnskZXMPBwXjw6r2govA,2023-05-12T11:00:13Z,US
