id,name,city,video,video_url,time_of_day,start_time,end_time,region_code,channel_name,channel_url,published_at,country_code
AcmcXLihbTQ,New York ain&#39;t normal 😳,New York,AcmcXLihbTQ,https://www.youtube.com/watch?v=AcmcXLihbTQ,unknown,0:00,0:00:19,US,Olima Omega,https://www.youtube.com/channel/UCMUPnskZXMPBwXjw6r2govA,2023-05-12T11:00:13Z,US
CnKRO4noQiQ,Crossing the street in #NYC pedestrian zone crossing. #wait #Newyork #Safety #usa,New York,CnKRO4noQiQ,https://www.youtube.com/watch?v=CnKRO4noQiQ,unknown,0:00,0:00:10,US,Tutti and More,https://www.youtube.com/channel/UCLSakeY1-GKdA1r9O_oprNQ,2023-07-04T10:50:37Z,US
XhETnrHtcOQ,Getting Yelled at by a Crosswalk,New York,XhETnrHtcOQ,https://www.youtube.com/watch?v=XhETnrHtcOQ,unknown,0:00,0:00:09,US,Daily Dose Of Internet,https://www.youtube.com/channel/UCdC0An4ZPNr_YiFiYoVbwaw,2023-05-03T15:48:40Z,US
WggrDrnRwuc,The video that started it all. Walking in NYC ❤️💕✨ #nyc #timessquare,New York,WggrDrnRwuc,https://www.youtube.com/watch?v=WggrDrnRwuc,unknown,0:00,0:00:11,US,Haley Kalil,https://www.youtube.com/channel/UCKX8qlNu2v4m0bCkhd7jicA,2022-12-13T03:30:33Z,US
m_wznfPqd0I,6 1/2 Avenue: The Pedestrian Only Ave in NYC #nyc #didyouknow #nychistory #funfacts #exploreny #fyi,New York,m_wznfPqd0I,https://www.youtube.com/watch?v=m_wznfPqd0I,unknown,0:00,0:01:28,US,Norberto Briceño,https://www.youtube.com/channel/UCkpqYp3qO3HPLWXYGySjTVQ,2025-09-24T17:23:42Z,US
40w8Cy2RqFs,Walking in New York City,New York,40w8Cy2RqFs,https://www.youtube.com/watch?v=40w8Cy2RqFs,unknown,0:00,0:00:11,US,Waqar Hussain,https://www.youtube.com/channel/UCy9PWXH4MrV77yBKVxulRvA,2024-10-16T10:00:08Z,US
pnVAm2YhJLg,Japan&#39;s Shibuya Crossing may be the busiest pedestrian crossing in the world,Tokyo,pnVAm2YhJLg,https://www.youtube.com/watch?v=pnVAm2YhJLg,unknown,0:00,0:03:13,JP,WTHR,https://www.youtube.com/channel/UCSFLs1nwzqSC3Tq6cXhJkLg,2021-02-24T04:25:36Z,JP
GuYrT1OGJyc,Girl Walks Through Tokyo&#39;s Famous Shibuya Crossing In Japan,Tokyo,GuYrT1OGJyc,https://www.youtube.com/watch?v=GuYrT1OGJyc,unknown,0:00,0:00:23,JP,Top Trends,https://www.youtube.com/channel/UC51I0xm0a81Y65XXAQwmw1w,2025-07-13T16:47:06Z,JP
u9NmexE4quU,Shibuya scramble crossing #tokyo #pedestrian #travel #japan #shibuya #shibuyascramble,Tokyo,u9NmexE4quU,https://www.youtube.com/watch?v=u9NmexE4quU,unknown,0:00,0:00:21,JP,Walking Nomad PH,https://www.youtube.com/channel/UCJd-rdXkNfyQQD2hLaVF6wA,2023-05-30T00:26:51Z,JP
MEpT2FHPTlg,Proper crossing of the road in Japan 🚶 #shorts,Tokyo,MEpT2FHPTlg,https://www.youtube.com/watch?v=MEpT2FHPTlg,unknown,0:00,0:00:19,JP,TheLoop,https://www.youtube.com/channel/UChcd5i0Ouc81GUeG2ZAWUtQ,2024-05-16T16:09:38Z,JP
