id,name,city,video,video_url,time_of_day,start_time,end_time,region_code,channel_name,channel_url,published_at,country_code
CnKRO4noQiQ,Crossing the street in #NYC pedestrian zone crossing. #wait #Newyork #Safety #usa,New York,CnKRO4noQiQ,https://www.youtube.com/watch?v=CnKRO4noQiQ,unknown,0:00,0:00:10,US,Tutti and More,https://www.youtube.com/channel/UCLSakeY1-GKdA1r9O_oprNQ,2023-07-04T10:50:37Z,US
XhETnrHtcOQ,Getting Yelled at by a Crosswalk,New York,XhETnrHtcOQ,https://www.youtube.com/watch?v=XhETnrHtcOQ,unknown,0:00,0:00:09,US,Daily Dose Of Internet,https://www.youtube.com/channel/UCdC0An4ZPNr_YiFiYoVbwaw,2023-05-03T15:48:40Z,US
40w8Cy2RqFs,Walking in New York City,New York,40w8Cy2RqFs,https://www.youtube.com/watch?v=40w8Cy2RqFs,unknown,0:00,0:00:11,US,Waqar Hussain,https://www.youtube.com/channel/UCy9PWXH4MrV77yBKVxulRvA,2024-10-16T10:00:08Z,US
m_wznfPqd0I,6 1/2 Avenue: The Pedestrian Only Ave in NYC #nyc #didyouknow #nychistory #funfacts #exploreny #fyi,New York,m_wznfPqd0I,https://www.youtube.com/watch?v=m_wznfPqd0I,unknown,0:00,0:01:28,US,Norberto Briceño,https://www.youtube.com/channel/UCkpqYp3qO3HPLWXYGySjTVQ,2025-09-24T17:23:42Z,US
8Tee4dzv0Bs,New Yorkers Deserve Safe Streets,New York,8Tee4dzv0Bs,https://www.youtube.com/watch?v=8Tee4dzv0Bs,unknown,0:00,0:02:26,US,Zohran Mamdani for NYC,https://www.youtube.com/channel/UCkIS8hii93hF2q0TQFD-sEQ,2025-09-05T14:36:56Z,US
WggrDrnRwuc,The video that started it all. Walking in NYC ❤️💕✨ #nyc #timessquare,New York,WggrDrnRwuc,https://www.youtube.com/watch?v=WggrDrnRwuc,unknown,0:00,0:00:11,US,Haley Kalil,https://www.youtube.com/channel/UCKX8qlNu2v4m0bCkhd7jicA,2022-12-13T03:30:33Z,US
qBRjTzkWVZE,#shorts Walk sign is on to cross 23rd Street in New York Accent,New York,qBRjTzkWVZE,https://www.youtube.com/watch?v=qBRjTzkWVZE,unknown,0:00,0:00:13,US,Crown Victoria NYC,https://www.youtube.com/channel/UCIjw7D3U0N57J63Fh0v7e8g,2024-07-21T18:15:02Z,US
nYNf3wrNERc,NYC is all About Crazy Drivers 🤣,New York,nYNf3wrNERc,https://www.youtube.com/watch?v=nYNf3wrNERc,unknown,0:00,0:00:29,US,Brad_Podray,https://www.youtube.com/channel/UCvdBzm8DPlyi8KUe4F1e4tQ,2025-02-19T08:16:37Z,US
2dZnRX60Hbc,The Bronx Fordham Road Like You’ve Never Seen | NYC Street Life,New York,2dZnRX60Hbc,https://www.youtube.com/watch?v=2dZnRX60Hbc,unknown,0:00,0:00:27,US,City Explorations,https://www.youtube.com/channel/UCHR-iuNUFGXdcqcBnpD-7-w,2025-07-02T18:00:03Z,US
vijQsZGlRdg,Broken cross walk signal #manhattan #newyorkcity #newyork #nyc #nyclife,New York,vijQsZGlRdg,https://www.youtube.com/watch?v=vijQsZGlRdg,unknown,0:00,0:00:05,US,SEE NYC,https://www.youtube.com/channel/UCT5vA96erEki2gjC0UGyfZQ,2023-09-24T15:37:32Z,US
